Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2006-06-07 18:00:00.000 +0200,Overcast,rain,14.91666667,14.91666667,0.73,16.1322,358,11.27,0,1020.61,Overcast throughout the day.
2009-06-23 12:00:00.000 +0200,Mostly Cloudy,rain,17.77777778,17.77777778,0.73,12.88,200,11.27,0,1009.1,Mostly cloudy throughout the day.
2014-04-21 11:00:00.000 +0200,Partly Cloudy,rain,17.87777778,17.87777778,0.63,16.5669,159,15.3111,0,1010.48,Partly cloudy throughout the day.
2013-03-05 06:00:00.000 +0100,Clear,snow,-3.916666667,-3.916666667,0.99,1.4973,5,4.669,0,1028.62,Partly cloudy starting in the afternoon.
2014-05-15 23:00:00.000 +0200,Mostly Cloudy,rain,11.09444444,11.09444444,0.9,16.6474,340,15.1823,0,1004.83,Breezy until afternoon and overcast throughout the day.
2011-01-26 12:00:00.000 +0100,Mostly Cloudy,snow,-2.083333333,-6.722222222,0.88,13.8138,160,4.83,0,1011.75,Foggy in the morning.
2009-11-16 20:00:00.000 +0100,Foggy,rain,7.222222222,7.222222222,0.93,3.22,160,0.161,0,1017,Foggy in the morning.
2015-01-21 19:00:00.000 +0100,Foggy,rain,6.177777778,4.022222222,0.94,10.304,40,2.2218,0,1015.21,Foggy starting in the morning.
2011-03-24 03:00:00.000 +0100,Partly Cloudy,rain,5.438888889,5.438888889,0.86,3.1878,28,8.1305,0,1031.07,Partly cloudy starting overnight continuing until evening.
2014-09-28 22:00:00.000 +0200,Partly Cloudy,rain,9.466666667,9.466666667,0.93,0,0,15.7297,0,1029.51,Partly cloudy throughout the day.
2016-07-29 09:00:00.000 +0200,Partly Cloudy,rain,24.90555556,24.90555556,0.79,0.5957,306,10.2074,0,1014.74,Partly cloudy throughout the day.
2009-03-11 18:00:00.000 +0100,Mostly Cloudy,rain,6.416666667,5.761111111,0.81,4.8622,337,9.7727,0,1014.42,Mostly cloudy throughout the day.
2011-01-13 07:00:00.000 +0100,Foggy,rain,0.016666667,-3.838888889,1,12.3326,191,0.3864,0,1018.93,Foggy in the morning.
2008-04-21 21:00:00.000 +0200,Partly Cloudy,rain,17.68888889,17.68888889,0.73,14.1197,118,8.1949,0,999.86,Mostly cloudy throughout the day.
2011-02-10 09:00:00.000 +0100,Foggy,snow,-2.083333333,-2.083333333,0.96,4.7656,15,0.3381,0,1027.1,Foggy starting in the morning continuing until night.
2015-02-05 10:00:00.000 +0100,Overcast,rain,2.144444444,-1.8,0.86,15.2789,42,6.6654,0,1016.5,Foggy until morning.
2008-01-29 18:00:00.000 +0100,Overcast,rain,2.222222222,2.222222222,0.64,4.6046,140,10.0464,0,1031.66,Mostly cloudy starting in the morning.
2009-02-22 05:00:00.000 +0100,Partly Cloudy,snow,-7.222222222,-7.222222222,0.88,3.22,320,6.118,0,1025.7,Partly cloudy until night.
2009-07-17 18:00:00.000 +0200,Partly Cloudy,rain,32.77777778,32.01111111,0.32,3.22,100,9.982,0,1010.8,Partly cloudy starting in the morning continuing until night.
2009-04-29 13:00:00.000 +0200,Mostly Cloudy,rain,21.11111111,21.11111111,0.32,11.27,120,9.982,0,1009.4,Mostly cloudy throughout the day.
2006-01-14 16:00:00.000 +0100,Mostly Cloudy,snow,-0.122222222,-2.672222222,0.82,7.4221,98,7.5509,0,1037.03,Mostly cloudy starting overnight continuing until evening.
2012-11-14 04:00:00.000 +0100,Clear,rain,2.766666667,-0.072222222,0.84,10.3362,350,14.9569,0,1031.68,Mostly cloudy starting in the morning.
2007-04-09 09:00:00.000 +0200,Partly Cloudy,rain,11.11111111,11.11111111,0.6,4.9427,281,9.982,0,1020.73,Partly cloudy starting in the morning.
2010-01-24 23:00:00.000 +0100,Foggy,snow,-11.97777778,-11.97777778,0.91,3.059,15,0.3059,0,1035.07,Foggy until morning.
2011-09-20 10:00:00.000 +0200,Foggy,rain,17.07222222,17.07222222,0.93,4.1377,161,3.1395,0,1016.62,Mostly cloudy throughout the day.
2010-02-18 21:00:00.000 +0100,Foggy,rain,4.961111111,3.55,0.96,6.44,170,1.8515,0,1005.55,Foggy starting in the evening.
2006-03-04 20:00:00.000 +0100,Mostly Cloudy,rain,6.038888889,3.416666667,0.87,12.6546,150,10.948,0,996.92,Mostly cloudy throughout the day and breezy in the morning.
2012-05-03 20:00:00.000 +0200,Mostly Cloudy,rain,22.98333333,22.98333333,0.44,2.2862,69,10.3684,0,1003.85,Partly cloudy throughout the day.
2013-11-22 19:00:00.000 +0100,Foggy,rain,5.705555556,3.761111111,0.98,8.8872,45,3.0751,0,1006.21,Foggy until evening.
2014-10-10 03:00:00.000 +0200,Clear,rain,12.17777778,12.17777778,0.9,14.007,169,14.7637,0,1019.43,Partly cloudy starting in the afternoon continuing until evening.
2007-07-11 16:00:00.000 +0200,Mostly Cloudy,rain,22.24444444,22.24444444,0.35,12.1394,349,11.2056,0,1010.61,Mostly cloudy until night.
2009-11-08 09:00:00.000 +0100,Foggy,rain,10,8.205555556,0.93,12.88,40,2.576,0,1004.7,Foggy starting in the morning continuing until evening.
2014-02-24 09:00:00.000 +0100,Mostly Cloudy,rain,6.044444444,3.994444444,0.85,9.6761,11,9.982,0,1023.35,Mostly cloudy throughout the day.
2014-07-16 00:00:00.000 +0200,Partly Cloudy,rain,18.43333333,18.43333333,0.86,6.3434,312,16.1,0,1015.57,Partly cloudy throughout the day.
2015-07-09 01:00:00.000 +0200,Breezy and Overcast,rain,16.25,16.25,0.93,29.8494,340,4.2987,0,1012.2,Breezy overnight and mostly cloudy throughout the day.
2010-06-30 15:00:00.000 +0200,Partly Cloudy,rain,28.86666667,30.1,0.55,20.1572,351,11.2056,0,1013.73,Partly cloudy starting in the morning.
2008-06-15 14:00:00.000 +0200,Mostly Cloudy,rain,18.02222222,18.02222222,0.63,14.651,284,11.4471,0,1011.58,Mostly cloudy throughout the day.
2011-08-29 20:00:00.000 +0200,Mostly Cloudy,rain,21.49444444,21.49444444,0.61,0.2254,32,9.982,0,1011.36,Partly cloudy overnight.
2010-08-13 06:00:00.000 +0200,Partly Cloudy,rain,21.85555556,21.85555556,0.78,9.3541,60,11.1251,0,1013.45,Mostly cloudy until night.
2011-12-16 14:00:00.000 +0100,Mostly Cloudy,rain,7.777777778,3.694444444,0.71,29.9782,160,9.982,0,1003.64,Mostly cloudy throughout the day and breezy starting in the evening.
2006-09-09 17:00:00.000 +0200,Partly Cloudy,rain,21.21111111,21.21111111,0.4,0.7245,9,10.3523,0,1027.24,Partly cloudy until night.
2007-02-11 00:00:00.000 +0100,Mostly Cloudy,rain,7.611111111,6.611111111,0.96,6.44,140,4.3148,0,1010.42,Foggy starting overnight.
2012-09-16 11:00:00.000 +0200,Mostly Cloudy,rain,19.88888889,19.88888889,0.45,19.4005,32,10.3523,0,1017.93,Partly cloudy starting overnight.
2006-04-22 06:00:00.000 +0200,Foggy,rain,7.155555556,7.155555556,1,1.8515,319,0.2898,0,1017.15,Foggy starting overnight continuing until morning.
2011-09-21 17:00:00.000 +0200,Partly Cloudy,rain,24.77777778,24.77777778,0.54,10.2235,283,10.1752,0,1015.68,Partly cloudy until evening.
2008-06-18 03:00:00.000 +0200,Mostly Cloudy,rain,15.57777778,15.57777778,0.93,2.0769,77,4.7495,0,1013.07,Foggy in the morning.
2006-08-10 12:00:00.000 +0200,Mostly Cloudy,rain,21.20555556,21.20555556,0.76,13.9426,340,12.0428,0,1010.5,Mostly cloudy until night.
2008-07-17 22:00:00.000 +0200,Mostly Cloudy,rain,21.13333333,21.13333333,0.66,6.0375,167,15.8263,0,1010.61,Partly cloudy throughout the day.
2014-01-18 18:00:00.000 +0100,Overcast,rain,9.972222222,8.238888889,0.86,12.4131,140,9.982,0,1011.85,Mostly cloudy throughout the day.
2012-07-02 10:00:00.000 +0200,Clear,rain,32.75555556,33.36666667,0.4,13.7977,169,9.982,0,1017.49,Partly cloudy starting in the afternoon.
2008-04-10 22:00:00.000 +0200,Mostly Cloudy,rain,13.91111111,13.91111111,0.75,11.0607,150,15.8263,0,1003.78,Mostly cloudy throughout the day.
2013-12-04 11:00:00.000 +0100,Partly Cloudy,snow,-0.188888889,-2.766666667,0.92,7.4704,171,9.5312,0,1029.2,Foggy until morning.
2007-09-04 11:00:00.000 +0200,Mostly Cloudy,rain,18.71666667,18.71666667,0.61,23.9568,331,11.4471,0,1010.17,Mostly cloudy starting in the morning.
2012-06-07 16:00:00.000 +0200,Partly Cloudy,rain,27.24444444,27.1,0.41,10.8997,222,9.982,0,1010.57,Partly cloudy until night.
2007-07-02 06:00:00.000 +0200,Partly Cloudy,rain,17.6,17.6,0.71,4.9266,139,9.982,0,1012.93,Partly cloudy until night.
2008-03-17 05:00:00.000 +0100,Mostly Cloudy,rain,8.794444444,6.561111111,0.82,14.1036,290,9.982,0,1003.06,Mostly cloudy throughout the day.
2008-08-18 20:00:00.000 +0200,Partly Cloudy,rain,20.30555556,20.30555556,0.42,7.4221,329,10.3523,0,1017.06,Partly cloudy starting in the morning continuing until evening.
2015-04-27 20:00:00.000 +0200,Mostly Cloudy,rain,20.10555556,20.10555556,0.49,9.1448,197,15.5526,0,1005.97,Mostly cloudy starting overnight.
2007-08-06 11:00:00.000 +0200,Partly Cloudy,rain,26.88888889,26.92777778,0.43,12.3648,27,9.982,0,1012.44,Partly cloudy starting in the morning.
2008-01-18 03:00:00.000 +0100,Mostly Cloudy,rain,4.283333333,0.65,0.8,16.5025,159,11.6725,0,1020.65,Foggy starting in the evening.
2014-04-30 19:00:00.000 +0200,Mostly Cloudy,rain,16.03888889,16.03888889,0.78,0.8372,23,9.6761,0,1005.9,Mostly cloudy throughout the day.
2012-08-20 23:00:00.000 +0200,Clear,rain,22.11111111,22.11111111,0.53,5.7638,193,14.9569,0,1018.93,Clear throughout the day.
2006-10-10 14:00:00.000 +0200,Partly Cloudy,rain,21.08333333,21.08333333,0.42,7.889,96,10.3523,0,1024.47,Partly cloudy starting in the morning continuing until evening.
2011-12-24 16:00:00.000 +0100,Overcast,rain,0.983333333,-1.977777778,0.8,9.4346,145,7.3577,0,1021.17,Mostly cloudy throughout the day.
2006-02-22 03:00:00.000 +0100,Overcast,rain,4.972222222,3.7,0.96,6.0375,270,7.6958,0,1014.97,Foggy in the morning.
2007-11-24 13:00:00.000 +0100,Mostly Cloudy,rain,12.31111111,12.31111111,0.63,7.9212,170,7.8085,0,1021.17,Foggy starting in the evening.
2016-08-02 20:00:00.000 +0200,Partly Cloudy,rain,22.46666667,22.46666667,0.72,4.7495,322,15.3111,0,1015.35,Mostly cloudy throughout the day.
2013-03-19 02:00:00.000 +0100,Mostly Cloudy,rain,5.483333333,1.272222222,0.87,23.8441,238,9.9015,0,997.05,Breezy overnight and partly cloudy throughout the day.
2010-06-02 07:00:00.000 +0200,Mostly Cloudy,rain,12.15555556,12.15555556,1,11.0124,271,10.948,0,1003.22,Mostly cloudy throughout the day.
2013-08-01 17:00:00.000 +0200,Partly Cloudy,rain,30.20555556,29.46111111,0.36,2.6404,24,15.5526,0,1016.35,Partly cloudy starting in the morning continuing until evening.
2011-05-09 17:00:00.000 +0200,Mostly Cloudy,rain,19,19,0.45,19.7386,51,10.3523,0,1023.98,Mostly cloudy until night.
2014-01-18 12:00:00.000 +0100,Mostly Cloudy,rain,11.08333333,11.08333333,0.72,12.2199,150,9.9015,0,1012.65,Mostly cloudy throughout the day.
2011-04-15 16:00:00.000 +0200,Overcast,rain,11.18333333,11.18333333,0.6,9.2253,351,10.0464,0,1015.03,Mostly cloudy throughout the day.
2012-06-09 06:00:00.000 +0200,Partly Cloudy,rain,18.77777778,18.77777778,0.9,0.5474,273,8.1305,0,1013.09,Partly cloudy until night.
2014-09-25 16:00:00.000 +0200,Mostly Cloudy,rain,18.75,18.75,0.53,2.8819,162,9.982,0,1015.84,Mostly cloudy throughout the day.
2011-08-12 20:00:00.000 +0200,Mostly Cloudy,rain,21.46111111,21.46111111,0.65,3.381,14,10.3523,0,1012.06,Partly cloudy starting overnight.
2016-09-22 10:00:00.000 +0200,Partly Cloudy,rain,14.97777778,14.97777778,0.78,9.2575,31,9.982,0,1020.66,Partly cloudy until evening.
2013-11-05 14:00:00.000 +0100,Mostly Cloudy,rain,17.31666667,17.31666667,0.72,25.5507,171,9.7083,0,995.72,Mostly cloudy throughout the day.
2016-07-07 16:00:00.000 +0200,Partly Cloudy,rain,25.06666667,25.06666667,0.3,20.5436,309,16.1,0,1019.32,Partly cloudy until night.
2012-04-02 03:00:00.000 +0200,Clear,snow,-0.555555556,-0.555555556,0.63,3.22,210,16.1,0,1016.1,Partly cloudy starting in the morning continuing until evening.
2008-12-09 17:00:00.000 +0100,Partly Cloudy,rain,1.205555556,-2.088888889,0.85,10.948,150,9.982,0,1022.47,Partly cloudy starting in the morning continuing until evening.
2015-08-26 02:00:00.000 +0200,Partly Cloudy,rain,17.70555556,17.70555556,0.85,9.9659,322,14.3934,0,1018.77,Partly cloudy throughout the day.
2013-03-24 09:00:00.000 +0100,Overcast,snow,-3.933333333,-10.45555556,0.53,21.6867,32,9.982,0,1022.45,Overcast throughout the day.
2012-05-02 13:00:00.000 +0200,Partly Cloudy,rain,30,29.07777778,0.34,11.27,150,9.982,0,1012.6,Partly cloudy starting in the morning.
2015-05-19 11:00:00.000 +0200,Partly Cloudy,rain,25.93333333,25.93333333,0.44,11.914,152,15.5526,0,1009.64,Partly cloudy starting in the morning.
2010-01-08 05:00:00.000 +0100,Foggy,rain,0.972222222,-2.777777778,0.92,12.8156,71,2.5277,0,1016.78,Foggy starting in the morning continuing until afternoon and breezy starting in the evening.
2014-07-20 03:00:00.000 +0200,Clear,rain,17.22222222,17.22222222,0.9,3.2039,349,16.1,0,1015.45,Partly cloudy starting in the morning.
2014-07-13 10:00:00.000 +0200,Partly Cloudy,rain,26.01666667,26.01666667,0.5,4.7978,247,10.2557,0,1012.37,Partly cloudy throughout the day.
2011-07-12 08:00:00.000 +0200,Partly Cloudy,rain,22.76111111,22.76111111,0.72,16.3093,350,10.3523,0,1017.04,Partly cloudy until evening.
2009-12-13 13:00:00.000 +0100,Mostly Cloudy,snow,-0.05,-4.322222222,0.83,14.2807,30,10.7065,0,1019.77,Mostly cloudy throughout the day.
2006-08-13 17:00:00.000 +0200,Mostly Cloudy,rain,20.05,20.05,0.78,0.3703,167,11.0768,0,1009.78,Mostly cloudy throughout the day.
2009-07-04 02:00:00.000 +0200,Clear,rain,18.53888889,18.53888889,0.93,6.4561,263,14.329,0,1008.16,Partly cloudy until night.
2013-11-19 02:00:00.000 +0100,Mostly Cloudy,rain,4.838888889,1.711111111,0.87,14.0875,129,5.8443,0,1018.08,Mostly cloudy throughout the day.
2014-08-02 03:00:00.000 +0200,Clear,rain,18.22222222,18.22222222,0.91,3.2361,244,15.6009,0,1010.74,Partly cloudy starting in the morning continuing until night.
2013-02-14 14:00:00.000 +0100,Overcast,rain,7.072222222,7.072222222,0.8,4.186,157,10.948,0,0,Foggy in the morning.
2015-10-19 10:00:00.000 +0200,Overcast,rain,12.2,12.2,1,8.3398,71,9.5956,0,1015.64,Foggy overnight.
2013-12-03 18:00:00.000 +0100,Foggy,snow,-2.244444444,-5.877777778,0.94,9.66,140,0.7245,0,1034.29,Foggy starting in the evening.
2010-09-25 17:00:00.000 +0200,Overcast,rain,21.01111111,21.01111111,0.63,17.549,131,9.982,0,1001.79,Mostly cloudy until night.
2011-01-09 09:00:00.000 +0100,Mostly Cloudy,rain,4.816666667,2.327777778,0.87,10.5777,159,7.728,0,1021.47,Partly cloudy starting in the morning.
2006-01-15 06:00:00.000 +0100,Foggy,snow,-3.816666667,-7.116666667,0.92,7.7763,49,1.5456,0,1037.54,Foggy in the morning.
2013-04-23 12:00:00.000 +0200,Partly Cloudy,rain,21.11666667,21.11666667,0.46,17.1304,192,11.2056,0,1021.39,Partly cloudy until evening.
2015-10-12 08:00:00.000 +0200,Overcast,rain,6.138888889,3.411111111,0.93,13.4435,311,8.3398,0,1013.97,Overcast throughout the day.
2007-10-06 07:00:00.000 +0200,Foggy,rain,12.75555556,12.75555556,0.9,13.9587,329,1.4651,0,1018.47,Foggy in the morning.
2009-09-07 09:00:00.000 +0200,Partly Cloudy,rain,17.77777778,17.77777778,0.52,17.71,30,9.982,0,1023.6,Partly cloudy starting in the morning continuing until evening.
2007-04-28 17:00:00.000 +0200,Mostly Cloudy,rain,22.68888889,22.68888889,0.29,12.6385,308,10.5777,0,1017.72,Partly cloudy starting in the afternoon.
2012-10-06 05:00:00.000 +0200,Partly Cloudy,rain,7.316666667,7.316666667,0.87,3.0912,108,14.9569,0,1020.83,Partly cloudy until evening.
2012-05-04 19:00:00.000 +0200,Partly Cloudy,rain,21.11111111,21.11111111,0.57,14.49,280,11.27,0,1005.6,Partly cloudy throughout the day.
2008-09-30 22:00:00.000 +0200,Clear,rain,10.51111111,10.51111111,0.78,6.3756,172,14.9086,0,1014.78,Partly cloudy starting in the morning continuing until evening.
2013-04-14 08:00:00.000 +0200,Partly Cloudy,rain,11.65555556,11.65555556,0.68,7.7119,325,10.3523,0,1027.07,Partly cloudy starting overnight continuing until evening.
2008-12-16 09:00:00.000 +0100,Mostly Cloudy,rain,6.066666667,2.411111111,0.8,20.1411,149,9.982,0,1023.29,Mostly cloudy throughout the day.
2008-09-05 03:00:00.000 +0200,Partly Cloudy,rain,20.28333333,20.28333333,0.57,10.8353,139,15.8263,0,1012.75,Partly cloudy until evening.
2006-03-05 05:00:00.000 +0100,Overcast,rain,3.677777778,0.583333333,0.92,12.4614,3,4.025,0,997.96,Overcast throughout the day.
2012-07-23 06:00:00.000 +0200,Mostly Cloudy,rain,16.04444444,16.04444444,0.67,21.3486,10,9.982,0,1021.03,Partly cloudy throughout the day.
2015-06-21 07:00:00.000 +0200,Partly Cloudy,rain,12.73333333,12.73333333,0.77,14.0875,329,16.1,0,1015.57,Partly cloudy throughout the day.
2014-07-20 23:00:00.000 +0200,Partly Cloudy,rain,21.40555556,21.40555556,0.8,3.3488,172,15.1823,0,1012.58,Partly cloudy starting in the morning.
2011-04-23 18:00:00.000 +0200,Partly Cloudy,rain,22.24444444,22.24444444,0.33,16.9694,160,9.982,0,1014.54,Partly cloudy starting in the morning continuing until night.
2009-10-13 11:00:00.000 +0200,Breezy and Overcast,rain,6.094444444,0.85,0.87,38.801,320,10.5133,0,1004.57,Breezy until afternoon and mostly cloudy throughout the day.
2010-06-27 16:00:00.000 +0200,Mostly Cloudy,rain,20.06666667,20.06666667,0.73,22.7332,359,11.2056,0,1015,Mostly cloudy throughout the day.
2013-05-22 13:00:00.000 +0200,Overcast,rain,13.86666667,13.86666667,0.93,7.8729,162,11.27,0,1008.9,Mostly cloudy throughout the day.
2011-08-07 23:00:00.000 +0200,Mostly Cloudy,rain,24.92222222,24.92222222,0.76,10.4167,171,14.9569,0,1009.38,Partly cloudy starting overnight continuing until night.
2015-10-30 04:00:00.000 +0100,Partly Cloudy,rain,2.25,1.038888889,0.9,4.8622,333,7.245,0,1026.51,Foggy overnight.
2016-03-30 15:00:00.000 +0200,Mostly Cloudy,rain,19.90555556,19.90555556,0.45,21.8799,240,10.2557,0,1017.67,Mostly cloudy throughout the day.
2007-02-23 20:00:00.000 +0100,Clear,rain,3.672222222,0.266666667,0.83,14.168,50,8.1305,0,1017.98,Foggy starting overnight continuing until morning.
2015-03-15 14:00:00.000 +0100,Partly Cloudy,rain,12.2,12.2,0.61,12.8639,81,8.1305,0,1031.09,Foggy until morning.
2008-02-03 15:00:00.000 +0100,Partly Cloudy,rain,7.822222222,7.822222222,0.63,1.9481,93,11.2056,0,1028.74,Mostly cloudy until night.
2007-05-02 21:00:00.000 +0200,Partly Cloudy,rain,9.95,8.688888889,0.33,9.4346,101,9.982,0,1018.71,Partly cloudy starting in the afternoon.
2012-07-24 03:00:00.000 +0200,Partly Cloudy,rain,19.92777778,19.92777778,0.66,14.1519,30,15.8263,0,1019.75,Mostly cloudy throughout the day.
2014-04-04 00:00:00.000 +0200,Overcast,rain,12.64444444,12.64444444,0.66,16.6474,200,16.1,0,1009.27,Mostly cloudy throughout the day.
2007-05-30 23:00:00.000 +0200,Mostly Cloudy,rain,12.71666667,12.71666667,0.76,13.7333,298,14.9569,0,1013.52,Partly cloudy throughout the day.
2016-04-16 07:00:00.000 +0200,Partly Cloudy,rain,9.922222222,8.605555556,0.77,9.66,172,16.1,0,1013.05,Partly cloudy until night and breezy starting in the morning continuing until afternoon.
2007-11-19 04:00:00.000 +0100,Overcast,rain,2.177777778,0.15,0.93,7.0035,319,3.9445,0,1017.66,Foggy in the morning.
2009-12-05 21:00:00.000 +0100,Overcast,rain,5,5,0.89,0,0,8.05,0,1019.9,Foggy in the morning.
2006-07-30 08:00:00.000 +0200,Mostly Cloudy,rain,21.16111111,21.16111111,0.87,9.3058,257,9.9015,0,1010.5,Partly cloudy throughout the day.
